Index,Code,Type,Order,Design,Color,Name,Rate,Wear,Company,Gender,Brand,Divest,Limit,Exchange,Inchant,Sum,Gift,Parcel,Free,New,Event,Amount,Discount,Sell,Cash,Point,Option1,Option2,Option3,Option4,Option5,IconFile10,IconFile20,MeshFile10,MeshFile20,EnvironFile10,EnvironFile20,TextureFile11,TextureFile12,TextureFile13,TextureFile21,TextureFile22,Description
0,101101111,101,101,1,11,ÊÃÂ —Ã· 1,0,0,0,1,0,0,0,85,0,0,0,0,0,0,0,1,100,2,1000,1000,0,0,0,0,0,Face11_101_D1_C11,-,Face11_101,-,-,-,Face11_101_D1_C11,-,-,-,-,«·«” Œœ«„ : «œ«… “Ì‰…
1,101101112,101,101,1,12,ÊÃÂ —Ã· 2,0,0,0,1,0,0,0,85,0,0,0,0,0,0,0,1,100,2,1000,1000,0,0,0,0,0,Face12_101_D1_C12,-,Face12_101,-,-,-,-,Face12_101_D1_C12,-,-,-,«·«” Œœ«„ : «œ«… “Ì‰…
2,101101113,101,101,1,13,ÊÃÂ —Ã· 3,0,0,0,1,0,0,0,85,0,0,0,0,0,0,0,1,100,2,1000,1000,0,0,0,0,0,Face13_101_D1_C13,-,Face13_101,-,-,-,-,-,Face13_101_D1_C13,-,-,«·«” Œœ«„ : «œ«… “Ì‰…
3,101101121,101,101,1,21,ÊÃÂ „—√… 1,0,0,0,2,0,0,0,85,0,0,0,0,0,0,0,1,100,2,1000,1000,0,0,0,0,0,-,Face21_101_D1_C21,-,Face21_101,-,-,-,-,-,Face21_101_D1_C21,-,«·«” Œœ«„ : «œ«… “Ì‰…
4,101101122,101,101,1,22,ÊÃÂ „—√… 2,0,0,0,2,0,0,0,85,0,0,0,0,0,0,0,1,100,2,1000,1000,0,0,0,0,0,-,Face22_101_D1_C22,-,Face22_101,-,-,-,-,-,-,Face22_101_D1_C22,«·«” Œœ«„ : «œ«… “Ì‰…
5,102101101,102,101,1,1,—⁄Ê‰… √”«”Ì…,20,1,0,1,0,0,0,85,0,0,0,0,0,0,0,1,100,2,1000,2000,0,0,0,0,0,Hair11_101_D1_C1,-,Hair10_101,-,-,-,Hair11_101_D1_C1,Hair11_101_D1_C1,Hair11_101_D1_C1,-,-,«·«” Œœ«„ : «œ«… “Ì‰…
6,102102101,102,102,1,1,ﬁ’… ›«‰ﬂÌ ﬁ’Ì—…,20,1,0,1,0,0,0,85,0,0,0,0,0,0,0,1,100,2,1000,3000,0,0,0,0,0,Hair11_102_D1_C1,-,Hair10_102,-,-,-,Hair11_102_D1_C1,Hair11_102_D1_C1,Hair11_102_D1_C1,-,-,«·«” Œœ«„ : «œ«… “Ì‰…
7,102103101,102,103,1,1,›’… ›«‰ﬂÌ ÿ»Ì⁄Ì…,20,1,0,2,0,0,0,85,0,0,0,0,0,0,0,1,100,2,1000,2000,0,0,0,0,0,-,Hair21_103_D1_C1,-,Hair20_103,-,-,-,-,-,Hair21_103_D1_C1,Hair21_103_D1_C1,«·«” Œœ«„ : «œ«… “Ì‰…
8,102104101,102,104,1,1,ﬁ’… „ Ê”ÿ… «·ÿÊ·,20,1,0,2,0,0,0,85,0,0,0,0,0,0,0,1,100,2,1000,3000,0,0,0,0,0,-,Hair21_104_D1_C1,-,Hair20_104,-,-,-,-,-,Hair21_104_D1_C1,Hair21_104_D1_C1,«·«” Œœ«„ : «œ«… “Ì‰…
9,102105101,102,105,1,1,—»ÿ… –Ì· «·Õ’«‰,20,1,0,1,0,0,0,85,0,0,0,0,0,0,0,1,100,2,1000,1500,0,0,0,0,0,Hair11_105_D1_C1,-,Hair10_105,-,-,-,Hair11_105_D1_C1,Hair11_105_D1_C1,Hair11_105_D1_C1,-,-,«·«” Œœ«„ : «œ«… “Ì‰…
